mundesc,codmun,uf,cobatb,cobsbuc,prprenat7,prprenat4-6,prprenat1-3,rzcito,rzmamogr,rzpamc,rzintccmc,rzpaac,rzintccac,prachoacd,prpamcnr,prpaacnr,printmcnr,printacnr,prisab,txsifcong,prcuratb,prcurahans,Cobtetrav1,mescovds,prexodon,prparton,probm15uti,probiiam,ghm,RegBr
Alvorada D'Oeste,110034,RO,"42,1%","22,0%","35,5%","57,2%","5,8%","66,3%","0,8%","0,09","7,86","1,30","0,30","34,6%","0,0%","0,0%","0,0%","0,0%","43,2%","2,03","85,7%","70,8%","124,9%","1,82","27,0%","41,2%","18,9%","15,9%",GH6,N
Alto Alegre dos Parecis,110037,RO,"113,1%","97,5%","40,8%","53,4%","4,1%","93,9%","5,2%","0,07","5,52","1,30","0,32","37,1%","0,0%","0,0%","0,0%","0,0%","40,5%","2,18","50,0%","53,8%","104,0%","1,27","7,7%","23,0%","16,9%","15,2%",GH5,N
Alto Paraíso,110040,RO,"52,5%","17,5%","50,2%","37,9%","9,0%","31,4%","5,2%","0,06","1,73","1,87","0,45","33,7%","0,0%","0,0%","0,0%","0,0%","27,3%",,"25,0%","82,4%","94,1%","0,00","22,7%","26,2%","14,7%","15,7%",GH6,N
Buritis,110045,RO,"21,7%","18,5%","71,1%","23,0%","4,5%","55,1%","7,7%","0,11","1,32","1,85","0,68","40,2%","0,0%","0,0%","0,0%","0,0%","21,4%",,"57,1%","76,2%","130,9%","0,22","0,0%","25,8%","19,6%","17,0%",GH6,N
Novo Horizonte do Oeste,110050,RO,"71,5%","26,9%","37,9%","58,0%","2,4%","109,3%","6,6%","0,01","6,92","1,01","0,75","35,4%","0,0%","0,0%","0,0%","0,0%","54,6%",,"100,0%","77,8%","120,0%","0,00","18,0%","20,5%","16,6%","15,2%",GH5,N
Cacaulândia,110060,RO,"87,3%","87,3%","57,5%","36,7%","3,2%","47,7%","9,3%","0,19","7,17","2,09","2,08","37,7%","0,0%","0,0%","0,0%","0,0%","63,7%",,,"80,0%","83,1%","0,34","11,1%","28,0%","16,7%","15,6%",GH5,N
Campo Novo de Rondônia,110070,RO,"94,7%","23,7%","62,7%","29,9%","6,5%","29,6%","3,1%","0,09","9,24","1,01","0,54","39,4%","0,0%","0,0%","0,0%","0,0%","50,9%",,,"85,2%","54,4%","0,02","43,6%","30,2%","18,1%","14,0%",GH6,N
Candeias do Jamari,110080,RO,"94,4%","83,0%","43,2%","37,1%","11,1%","69,6%","18,0%","0,43","2,71","3,37","1,15","31,0%","0,0%","0,0%","0,0%","0,0%","28,0%",,"92,3%","70,4%","118,8%","1,28","4,6%","49,4%","15,5%","15,1%",GH5,N
Castanheiras,110090,RO,"167,6%","167,6%","32,6%","60,1%","5,1%","103,3%","1,8%","0,08","3,93","1,11","0,55","37,3%","0,0%","0,0%","0,0%","0,0%","47,6%",,"100,0%","50,0%","147,1%","1,11","0,0%","24,2%","18,3%","15,8%",GH5,N
Chupinguaia,110092,RO,"94,5%","38,6%","75,2%","16,9%","3,6%","45,6%","5,1%","0,03","3,08","1,30","0,28","35,4%","0,0%","0,0%","0,0%","0,0%","29,6%",,"80,0%","71,4%","157,5%","0,00","74,5%","29,1%","16,4%","17,3%",GH5,N
Cujubim,110094,RO,"37,8%","18,9%","47,0%","39,7%","8,6%","53,1%","2,9%","0,04","3,13","1,13","0,45","36,4%","0,0%","0,0%","0,0%","0,0%","54,5%",,"100,0%","71,4%","139,4%","0,65","30,0%","32,3%","12,9%","14,7%",GH5,N
Governador Jorge Teixeira,110100,RO,"99,9%","73,7%","26,9%","67,8%","3,7%","72,7%","5,9%","0,04","6,90","1,34","0,29","37,7%","0,0%","0,0%","0,0%","0,0%","49,7%",,,"71,4%","112,7%","0,57","13,0%","36,3%","20,9%","15,9%",GH6,N
Itapuã do Oeste,110110,RO,"35,0%","58,4%","52,7%","34,8%","7,3%","75,7%","9,8%","0,12","2,04","1,69","0,58","35,6%","0,0%","0,0%","0,0%","0,0%","29,0%",,"100,0%","62,5%","212,8%","0,00","16,5%","47,8%","15,0%","14,9%",GH6,N
Ministro Andreazza,110120,RO,"86,9%","67,6%","69,6%","27,1%","2,4%","73,7%","5,3%","0,15","6,30","1,73","0,68","35,9%","0,0%","0,0%","0,0%","0,0%","43,2%",,,"81,5%","84,7%","0,00","0,0%","32,5%","14,3%","15,6%",GH6,N
Mirante da Serra,110130,RO,"83,2%","35,8%","67,5%","28,9%","1,8%","71,8%","3,4%","0,05","9,45","2,20","0,60","38,7%","0,0%","0,0%","0,0%","0,0%","59,4%",,"100,0%","81,3%","110,5%","0,00","99,8%","32,0%","13,0%","15,4%",GH6,N
Monte Negro,110140,RO,"126,3%","39,0%","54,6%","38,6%","5,2%","67,7%","13,8%","0,36","19,45","2,54","0,71","34,3%","0,0%","0,0%","0,0%","0,0%","47,0%",,"100,0%","87,0%","99,6%","0,60","8,9%","32,0%","13,7%","15,1%",GH4,N
Nova União,110143,RO,"80,0%","40,0%","59,1%","36,1%","3,4%","76,1%","0,4%","0,13","8,26","1,21","0,37","37,3%","0,0%","0,0%","0,0%","0,0%","31,2%",,"0,0%","66,7%","122,4%","0,31","4,8%","32,3%","17,1%","17,4%",GH6,N
Parecis,110145,RO,"62,4%","62,4%","44,3%","51,1%","1,8%","65,2%","2,4%","0,03","1,92","0,96","0,36","36,0%","0,0%","0,0%","0,0%","0,0%","52,8%",,,"90,9%","85,0%","0,47","16,1%","23,1%","16,0%","14,7%",GH5,N
Pimenteiras do Oeste,110146,RO,"75,4%","0,0%","47,2%","40,2%","9,4%","46,5%","1,6%","0,01","6,48","0,43","1,42","37,1%","0,0%","0,0%","0,0%","0,0%","48,9%",,"66,7%","71,4%","106,7%","0,00","23,2%","35,3%","16,4%","14,4%",GH5,N
Primavera de Rondônia,110147,RO,"141,9%","127,7%","50,0%","44,4%","5,6%","87,6%","5,3%","0,14","4,72","1,37","0,96","34,3%","0,0%","0,0%","0,0%","0,0%","38,6%",,,"92,9%","86,0%","1,12","18,9%","19,4%","15,5%","15,6%",GH5,N
São Felipe D'Oeste,110148,RO,"149,6%","49,9%","66,8%","28,8%","3,9%","140,1%","6,3%","0,05","2,23","1,50","0,50","36,9%","0,0%","0,0%","0,0%","0,0%","30,5%",,"100,0%","92,6%","104,9%","0,00","28,9%","29,3%","15,8%","15,7%",GH6,N
São Francisco do Guaporé,110149,RO,"56,2%","56,2%","63,2%","32,3%","2,7%","46,4%","0,8%","0,06","6,46","0,72","0,66","34,8%","0,0%","0,0%","0,0%","0,0%","57,0%","2,21","85,7%","88,9%","392,2%","0,00","0,0%","31,2%","17,1%","15,2%",GH6,N
Seringueiras,110150,RO,"25,8%","51,5%","58,0%","37,5%","3,5%","105,9%","0,9%","0,15","8,07","1,31","0,67","36,9%","0,0%","0,0%","0,0%","0,0%","37,9%",,"100,0%","81,8%","114,6%","0,00","0,0%","30,3%","21,5%","17,5%",GH6,N
Teixeirópolis,110155,RO,"122,6%","122,6%","59,0%","35,8%","4,0%","103,8%","1,5%","0,05","4,69","2,32","0,67","37,6%","0,0%","0,0%","0,0%","0,0%","40,5%",,"100,0%","76,2%","157,7%","5,88","6,2%","23,8%","17,9%","14,4%",GH5,N
Theobroma,110160,RO,"124,5%","2,3%","29,3%","66,0%","3,5%","58,1%","9,5%","0,06","4,53","2,16","0,39","36,1%","0,0%","0,0%","0,0%","0,0%","47,8%",,,"82,4%","100,6%","0,00","11,8%","36,9%","15,4%","15,4%",GH5,N
Urupá,110170,RO,"69,4%","23,1%","49,0%","42,5%","5,1%","60,9%","0,5%","0,05","5,35","1,60","0,31","36,8%","0,0%","0,0%","0,0%","0,0%","31,3%",,"100,0%","71,1%","158,3%","0,00","0,0%","34,9%","19,3%","17,9%",GH6,N
Vale do Anari,110175,RO,"61,4%","32,0%","34,1%","60,0%","3,3%","36,9%","5,0%","0,02","3,59","0,96","1,33","33,7%","0,0%","0,0%","0,0%","0,0%","43,7%",,"66,7%","66,7%","112,6%","0,00","31,7%","40,3%","17,6%","15,4%",GH5,N
Vale do Paraíso,110180,RO,"103,4%","30,4%","56,8%","35,4%","4,8%","25,7%","1,1%","0,13","5,53","1,98","0,57","35,6%","0,0%","0,0%","0,0%","0,0%","53,7%",,"100,0%","88,9%","101,0%","5,68","8,1%","29,7%","15,0%","17,7%",GH6,N
Acrelândia,120001,AC,"115,6%","91,7%","44,8%","44,0%","8,7%","156,4%","9,2%","0,12","3,60","1,41","1,49","37,0%","0,0%","0,0%","0,0%","0,0%","29,0%","3,79","100,0%","100,0%","106,3%","0,38","16,7%","59,4%","15,8%","16,5%",GH5,N
Assis Brasil,120005,AC,"98,8%","98,8%","16,9%","31,9%","17,1%","145,6%","6,7%","0,31","4,72","0,66","0,98","37,4%","0,0%","0,0%","0,0%","0,0%","30,7%",,"90,9%","90,0%","60,7%","1,53","4,8%","76,3%","16,4%","14,9%",GH6,N
Brasiléia,120010,AC,"99,1%","103,8%","31,3%","44,5%","16,2%","107,9%","4,1%","0,59","3,86","0,73","1,38","37,7%","0,0%","0,0%","0,0%","0,0%","41,7%","2,19","92,3%","100,0%","103,8%","1,01","10,5%","59,5%","16,0%","16,7%",GH4,N
Bujari,120013,AC,"113,1%","94,4%","35,7%","43,1%","16,1%","77,8%","5,9%","0,26","2,16","0,81","1,20","36,6%","0,0%","0,0%","0,0%","0,0%","30,2%",,"100,0%","100,0%","104,4%","0,75","52,9%","61,3%","16,1%","15,1%",GH5,N
Capixaba,120017,AC,"109,7%","62,4%","27,5%","49,8%","16,6%","110,2%","9,2%","0,24","2,33","0,50","0,48","34,1%","0,0%","0,0%","0,0%","0,0%","43,9%","2,15","83,3%","100,0%","90,4%","1,09","12,5%","61,0%","15,3%","17,4%",GH6,N
Cruzeiro do Sul,120020,AC,"85,0%","38,7%","23,0%","33,9%","21,1%","81,2%","1,3%","0,42","8,36","5,26","1,26","34,2%","0,0%","0,0%","0,1%","0,0%","47,4%","1,46","93,6%","96,7%","106,8%","0,52","39,0%","62,4%","13,1%","17,9%",GH4,N
Epitaciolândia,120025,AC,"132,8%","116,5%","31,0%","44,5%","16,7%","80,5%","4,5%","0,15","2,88","0,45","0,79","36,9%","0,0%","0,0%","0,0%","0,0%","44,7%","2,50","93,3%","100,0%","107,2%","0,24","11,5%","59,7%","15,4%","15,4%",GH6,N
Feijó,120030,AC,"49,3%","36,4%","11,3%","27,0%","26,4%","59,0%","1,6%","0,15","2,13","0,75","0,84","38,5%","0,0%","0,0%","0,0%","0,0%","35,9%","2,43","85,7%","95,2%","100,0%","0,01","41,3%","75,2%","15,5%","19,7%",GH6,N
Jordão,120032,AC,"91,9%","45,9%","6,4%","25,8%","54,9%","76,2%","2,0%","0,04","1,13","0,20","0,97","34,9%","0,0%","0,0%","0,0%","0,0%","33,4%",,"0,0%","100,0%","98,6%","1,55","47,4%","83,3%","16,7%","14,9%",GH6,N
Mâncio Lima,120033,AC,"98,4%","60,7%","23,3%","39,5%","26,3%","96,1%","1,9%","0,01","3,67","0,33","0,67","37,7%","0,0%","0,0%","0,0%","0,0%","48,0%","1,86","88,9%","100,0%","76,2%","0,35","26,6%","73,2%","12,5%","15,1%",GH6,N
Manoel Urbano,120034,AC,"72,0%","140,8%","22,5%","40,8%","26,8%","66,6%","5,8%","0,15","6,33","0,79","0,53","34,9%","0,0%","0,0%","0,0%","0,0%","46,3%","2,14","90,9%","89,7%","109,3%","0,55","26,0%","73,3%","16,7%","15,9%",GH6,N
Marechal Thaumaturgo,120035,AC,"84,5%","63,4%","16,2%","41,1%","32,6%","57,1%","0,3%","0,02","2,24","0,36","1,15","37,4%","0,0%","0,0%","0,0%","0,0%","37,0%",,,"93,3%","118,3%","0,15","67,0%","79,1%","18,3%","12,1%",GH5,N
Plácido de Castro,120038,AC,"128,9%","106,1%","45,1%","39,2%","12,6%","146,2%","8,0%","0,26","4,89","0,99","1,26","34,7%","0,0%","0,0%","0,0%","0,0%","52,4%","1,59","88,9%","100,0%","139,5%","6,83","9,2%","63,2%","18,2%","17,0%",GH5,N
Porto Walter,120039,AC,"65,4%","32,7%","12,6%","27,7%","27,5%","64,5%","0,0%","0,01","2,66","0,16","0,39","36,7%","0,0%","0,0%","0,0%","0,0%","49,2%",,"100,0%","100,0%","77,3%","1,53","45,4%","83,5%","14,7%","15,9%",GH6,N
Rio Branco,120040,AC,"38,1%","30,4%","41,6%","40,4%","14,4%","80,0%","14,2%","3,27","4,18","5,07","2,62","45,9%","0,5%","0,1%","0,3%","0,0%","24,1%","4,46","86,7%","98,6%","101,4%","6,06","12,4%","53,4%","10,4%","28,0%",GH2,N
Rodrigues Alves,120042,AC,"71,5%","20,9%","16,4%","34,9%","26,2%","79,8%","0,4%","0,01","4,06","0,27","0,43","36,2%","0,0%","0,0%","0,0%","0,0%","50,0%",,,"88,5%","47,6%","0,00","21,0%","70,5%","10,3%","16,8%",GH5,N
Santa Rosa do Purus,120043,AC,"130,1%","65,0%","10,8%","22,2%","48,0%","109,4%","5,1%","0,07","5,97","0,37","0,20","34,9%","0,0%","0,0%","0,0%","0,0%","47,6%","4,95","100,0%","100,0%","87,7%","2,78","27,1%","87,3%","14,7%","15,9%",GH6,N
Senador Guiomard,120045,AC,"126,1%","117,8%","34,2%","47,0%","15,0%","92,1%","8,2%","0,42","3,93","0,88","1,02","36,8%","0,0%","0,0%","0,0%","0,0%","47,9%","3,17","86,7%","85,7%","107,5%","1,17","15,1%","61,7%","18,3%","19,0%",GH6,N
Sena Madureira,120050,AC,"79,0%","67,1%","27,6%","35,4%","21,7%","68,5%","4,8%","0,58","6,08","0,95","0,98","32,6%","0,0%","0,0%","0,0%","0,0%","58,1%",,"89,5%","100,0%","90,8%","1,03","21,5%","60,3%","19,2%","18,7%",GH4,N
Tarauacá,120060,AC,"84,4%","73,9%","10,9%","32,2%","35,0%","94,3%","2,8%","0,13","2,42","0,63","1,41","35,7%","0,0%","0,0%","0,0%","0,0%","37,3%","3,03","100,0%","95,7%","73,1%","0,85","39,3%","69,5%","16,7%","18,0%",GH4,N
Xapuri,120070,AC,"68,2%","54,6%","22,4%","47,8%","23,6%","82,4%","5,1%","0,20","5,24","1,00","0,87","36,2%","0,0%","0,0%","0,0%","0,0%","27,7%","2,79","100,0%","100,0%","105,7%","1,00","12,5%","64,4%","16,3%","17,7%",GH5,N
Porto Acre,120080,AC,"99,6%","99,6%","37,2%","40,2%","15,7%","80,3%","19,7%","0,37","2,22","0,95","0,92","33,7%","0,0%","0,0%","0,0%","0,0%","26,2%","2,17","100,0%","95,0%","105,6%","0,10","20,0%","61,8%","14,8%","14,5%",GH5,N
Alvarães,130002,AM,"60,4%","40,8%","24,9%","42,6%","26,7%","26,7%","2,1%","0,04","0,88","0,04","0,06","37,2%","0,0%","0,0%","0,0%","0,0%","37,4%",,"100,0%","81,8%","82,8%","1,73","24,6%","63,9%","16,7%","15,9%",GH6,N
Amaturá,130006,AM,"59,5%","59,5%","14,5%","45,5%","35,6%","53,6%","2,4%","0,15","2,26","0,14","0,09","34,9%","0,0%","0,0%","0,0%","0,0%","35,4%",,"87,5%",,"97,1%","0,00","0,0%","81,6%","14,7%","14,9%",GH6,N
Anamã,130008,AM,"103,0%","58,9%","25,8%","49,9%","19,9%","36,5%","0,5%","0,01","2,56","0,05","0,04","36,8%","0,0%","0,0%","0,0%","0,0%","64,8%",,"100,0%","75,0%","135,2%","0,22","9,5%","61,5%","15,5%","14,9%",GH6,N
Anori,130010,AM,"73,7%","73,7%","35,8%","45,1%","13,1%","39,5%","0,5%","0,14","1,69","0,06","0,05","36,2%","0,0%","0,0%","0,0%","0,0%","44,3%",,"66,7%","66,7%","109,8%","0,10","17,0%","64,8%","16,4%","14,0%",GH6,N
Apuí,130014,AM,"70,1%","49,8%","61,7%","28,8%","8,1%","40,5%","0,5%","0,09","4,37","0,18","0,04","36,0%","0,0%","0,0%","0,0%","0,0%","42,1%","1,94","89,3%","93,3%","99,1%","0,23","11,9%","61,1%","12,5%","14,0%",GH6,N
Atalaia do Norte,130020,AM,"39,6%","39,6%","14,5%","34,5%","35,9%","23,4%","0,0%","0,04","1,15","0,06","0,22","35,9%","0,0%","0,0%","0,0%","0,0%","34,8%",,"89,3%","70,0%","80,6%","3,38","47,2%","81,6%","16,8%","14,0%",GH6,N
Autazes,130030,AM,"120,8%","91,0%","27,4%","45,9%","17,4%","54,7%","0,3%","0,16","1,77","0,07","0,12","29,7%","0,0%","0,0%","0,0%","0,0%","42,5%",,"50,0%","74,2%","123,2%","1,53","26,6%","63,0%","13,3%","11,4%",GH4,N
Barcelos,130040,AM,"12,9%","14,9%","19,5%","43,1%","27,3%","30,5%","0,3%","0,01","1,84","0,03","0,02","35,1%","0,0%","0,0%","0,0%","0,0%","46,9%",,"90,0%","55,6%","78,7%","0,00","24,4%","60,8%","18,4%","14,9%",GH6,N
Barreirinha,130050,AM,"46,0%","26,2%","27,6%","43,2%","22,0%","45,5%","0,0%","0,05","1,87","0,06","0,11","35,7%","0,0%","0,0%","0,0%","0,0%","45,9%","1,07","60,0%","60,0%","80,0%","0,95","27,3%","75,9%","16,3%","17,2%",GH6,N
Benjamin Constant,130060,AM,"48,7%","30,4%","20,6%","60,3%","13,6%","27,9%","0,2%","0,02","1,49","0,24","0,04","39,5%","0,0%","0,0%","0,0%","0,0%","16,6%","0,79","52,6%","100,0%","90,7%","0,01","31,5%","79,2%","15,8%","17,5%",GH6,N
Beruri,130063,AM,"59,1%","19,4%","18,4%","40,2%","32,3%","42,8%","2,4%","0,18","0,36","0,06","0,08","36,3%","0,0%","0,0%","0,0%","0,0%","27,8%",,"70,0%","57,1%","73,4%","0,00","42,2%","71,8%","18,0%","14,0%",GH6,N
Boa Vista do Ramos,130068,AM,"24,0%","26,8%","23,8%","48,0%","21,2%","29,7%","0,4%","0,14","1,47","0,13","0,24","38,7%","0,0%","0,0%","0,0%","0,0%","39,8%",,"88,9%","90,9%","89,1%","0,00","12,8%","67,1%","16,0%","14,0%",GH6,N
Boca do Acre,130070,AM,"49,6%","57,7%","22,9%","43,8%","25,9%","13,5%","2,6%","0,10","3,16","0,44","0,49","36,9%","0,0%","0,0%","0,0%","0,0%","41,3%",,"67,4%","85,5%","77,1%","1,32","36,8%","51,1%","16,7%","18,3%",GH6,N
Borba,130080,AM,"74,0%","84,2%","35,3%","42,5%","16,4%","89,1%","0,1%","0,12","2,05","0,07","0,04","33,1%","0,0%","0,0%","0,0%","0,0%","41,3%","1,40","80,0%","72,2%","114,1%","98,20","20,0%","63,0%","16,0%","13,2%",GH6,N
Caapiranga,130083,AM,"137,5%","105,4%","20,8%","45,0%","25,0%","31,3%","0,2%","0,21","1,94","0,09","0,63","36,8%","0,0%","0,0%","0,0%","0,0%","48,6%",,"50,0%","20,0%","94,1%","2,48","16,2%","63,3%","16,7%","14,9%",GH6,N
Canutama,130090,AM,"72,7%","23,6%","35,1%","39,8%","21,7%","48,5%","0,3%","0,00","1,56","0,02","0,06","36,0%","0,0%","0,0%","0,0%","0,0%","57,6%",,"91,7%","82,6%","61,5%","1,47","18,4%","59,2%","15,5%","15,4%",GH6,N
Carauari,130100,AM,"34,0%","19,5%","47,1%","32,7%","9,2%","35,1%","0,4%","0,09","2,70","0,05","0,09","35,9%","0,0%","0,0%","0,0%","0,0%","44,8%","1,14","88,2%","83,0%","67,0%","1,25","53,3%","70,5%","16,6%","13,2%",GH6,N
Careiro,130110,AM,"80,4%","26,8%","20,5%","41,8%","26,3%","35,0%","0,6%","0,08","1,04","0,06","0,10","33,7%","0,0%","0,0%","0,0%","0,0%","39,3%",,"70,0%","79,2%","128,5%","0,05","23,8%","70,1%","15,3%","15,7%",GH6,N
Careiro da Várzea,130115,AM,"74,6%","48,0%","17,0%","47,9%","23,6%","32,8%","1,0%","0,01","0,18","0,05","0,03","32,7%","0,0%","0,0%","0,0%","0,0%","34,0%",,"62,5%","90,9%","161,9%","0,00","47,6%","63,4%","19,0%","14,0%",GH6,N
Coari,130120,AM,"46,4%","46,4%","23,5%","36,0%","31,4%","36,4%","0,2%","0,17","2,44","0,18","0,08","37,1%","0,0%","0,0%","0,0%","0,0%","26,3%","0,47","76,5%","80,4%","77,3%","1,25","26,7%","59,8%","15,3%","8,9%",GH4,N
Codajás,130130,AM,"43,6%","59,5%","23,4%","47,2%","22,6%","19,4%","0,3%","0,01","3,18","0,12","0,06","37,5%","0,0%","0,0%","0,0%","0,0%","43,0%",,"80,0%","37,5%","67,3%","0,00","40,0%","60,5%","18,7%","14,0%",GH6,N
